unix_time,track_id,name,u,v,n_detections
1774586403.682057,0,Birch_36,241.09,229.61,12
1774586403.682057,1,Birch_4,525.97,132.05,12
1774586403.682057,2,Birch_5,593.70,130.32,12
1774586403.682057,3,Birch_566,253.44,231.08,12
1774586403.682057,4,Car_33,167.15,238.33,12
1774586403.682057,5,Car_58,232.25,235.40,12
1774586403.682057,6,Car_59,115.93,227.47,12
1774586403.682057,7,Tree_10,320.00,139.29,12
1774586403.682057,8,Tree_26,586.90,156.11,12
1774586403.682057,9,Tree_884,131.81,204.91,12
1774586403.682057,10,Small_House_31,202.21,232.73,12
1774586403.682057,11,Small_House_7,283.23,229.90,12
1774586409.095859,0,Birch_37,232.55,229.52,9
1774586409.095859,1,Birch_4,525.97,132.05,9
1774586409.095859,2,Birch_5,593.70,130.32,9
1774586409.095859,3,Car_58,232.25,235.40,9
1774586409.095859,4,Car_59,115.93,227.47,9
1774586409.095859,5,Tree_884,131.81,204.91,9
1774586409.095859,6,Tree_9,577.72,175.01,9
1774586409.095859,7,InstancedFoliageActor_0,239.70,122.09,9
1774586409.095859,8,Small_House_31,202.21,232.73,9
1774586419.306973,0,Birch_35,248.11,229.69,12
1774586419.306973,1,Birch_37,232.55,229.52,12
1774586419.306973,2,Birch_4,525.97,132.05,12
1774586419.306973,3,Birch_5,593.70,130.32,12
1774586419.306973,4,Birch_566,253.44,231.08,12
1774586419.306973,5,Car_33,167.15,238.33,12
1774586419.306973,6,Car_58,232.25,235.40,12
1774586419.306973,7,Car_59,115.93,227.47,12
1774586419.306973,8,Tree_10,320.00,139.29,12
1774586419.306973,9,Tree_9,577.72,175.01,12
1774586419.306973,10,Small_House_31,202.21,232.73,12
1774586419.306973,11,Medium_House_Prefab_49874,112.13,219.44,12
1774586598.350145,0,Birch_36,241.09,229.61,10
1774586598.350145,1,Birch_37,232.55,229.52,10
1774586598.350145,2,Birch_4,525.97,132.05,10
1774586598.350145,3,Birch_5,593.70,130.32,10
1774586598.350145,4,Car_58,232.25,235.40,10
1774586598.350145,5,Car_59,115.93,227.47,10
1774586598.350145,6,Tree_10,320.00,139.29,10
1774586598.350145,7,Tree_28,604.92,183.45,10
1774586598.350145,8,Tree_884,131.81,204.91,10
1774586598.350145,9,Small_House_31,202.21,232.73,10
1774586598.515865,0,Birch_35,248.11,229.69,13
1774586598.515865,1,Birch_36,241.09,229.61,13
1774586598.515865,4,Birch_37,232.55,229.52,13
1774586598.515865,2,Birch_4,525.97,132.05,13
1774586598.515865,3,Birch_5,593.70,130.32,13
1774586598.515865,9,Birch_566,253.44,231.08,13
1774586598.515865,5,Car_59,115.93,227.47,13
1774586598.515865,8,Tree_884,131.81,204.91,13
1774586598.515865,7,Tree_9,577.72,175.01,13
